Designation,ra,dec,type,confidence,variability_snr,W1_amp,W2_amp,n_obs,W1mag,W2mag,W3mag,W4mag,Jmag,Hmag,Kmag,W1emag,W2emag,W3emag,W4emag,Jemag,Hemag,Kemag,Gmag,Gemag,BPmag,BPemag,RPmag,RPemag,period1,period2,period_significance,suspect_period,known_extragalactic,simbad_type,Plx,e_Plx,A0,AG,E(BP-RP),G_absmag,blended_source?,latent_artifact?,cluster_id
VarWISE J073008.59-164336.4,112.5358,-16.7268,cep,0.9825,8.919,0.111,0.113,285,8.835,8.826,8.7,8.52,9.54,9.08,8.9,0.02,0.02,0.02,0.31,0.02,0.02,0.02,10.623713,0.003187,10.821618,0.004198,10.259378,0.007425,6.4288,12.8584,17.546,False,False,EclBin,1.1126,0.0161,,,,,0.04,0.05,1514072780101929220
VarWISE J074832.53-151116.0,117.13555,-15.1878,cep,0.9906,16.925,0.265,0.258,302,10.935,10.929,11.04,9.02,11.43,11.0,10.87,0.02,0.02,0.11,,0.02,0.02,0.02,12.867253,0.004743,12.987127,0.018015,12.439601,0.032557,6.56905,13.13855,40.598,False,False,EclBin,-0.4532,0.2388,,,,,0.04,0.04,1514636501756939494
VarWISE J073700.64-144127.6,114.25267,-14.691,cep,0.9801,12.008,0.156,0.187,238,11.107,11.082,10.67,8.46,11.7,11.26,11.13,0.02,0.02,0.08,,0.02,0.02,0.02,12.989785,0.006992,13.205146,0.013236,12.578353,0.020845,4.520675,9.0413,26.025,False,False,EclBin_Candidate,0.5106,0.0152,,,,,0.04,0.1,1514917493080062334
VarWISE J073046.68-142407.1,112.69453,-14.402,cep,0.8339,9.441,0.102,0.111,265,9.995,9.928,9.89,9.15,10.36,10.17,10.05,0.02,0.02,0.06,0.51,0.02,0.02,0.02,11.440634,0.006857,11.654871,0.016702,10.954629,0.012988,13.7778,27.5575,19.985,False,False,SB*,0.0776,0.1765,,,,,0.04,0.11,1514917231657479732
VarWISE J071641.79-150352.2,109.17413,-15.0645,cep,0.5281,19.11,0.258,0.249,267,10.733,10.509,10.1,8.6,11.49,11.46,11.42,0.02,0.02,0.05,,0.02,0.02,0.02,12.042561,0.002976,12.208585,0.004091,11.725262,0.005257,39.24,82.805,13.393,False,False,,0.2246,0.0161,1.5496,1.4745,0.8022,-1.665247,0.04,0.27,1515479590985795605
VarWISE J072219.34-154455.6,110.58062,-15.7488,cep,0.995,6.21,0.082,0.083,289,10.523,10.473,10.52,9.09,11.1,10.75,10.61,0.02,0.02,0.08,,0.02,0.02,0.02,13.047769,0.008127,13.673881,0.027888,12.289562,0.017817,1.649425,0.8247,30.37,False,False,ClassicalCep,0.238,0.0176,,,,,0.04,0.18,1515479826957345488
VarWISE J080641.31-083543.0,121.67215,-8.5953,cep,0.9976,20.25,0.223,0.164,284,8.019,7.856,7.43,7.24,8.97,8.37,8.17,0.02,0.02,0.02,0.1,0.03,0.05,0.04,11.660188,0.010304,12.544258,0.048711,10.621202,0.02578,778.0,391.0,41.056,True,False,RVTauV*,0.1505,0.0208,2.8967,2.1866,1.1878,-0.9779091,0.04,0.13,1519703812469623649
VarWISE J070555.96-132352.4,106.48319,-13.3979,cep,0.9998,5.358,0.072,0.078,289,10.063,10.006,9.94,9.09,10.88,10.42,10.24,0.02,0.02,0.05,,0.02,0.02,0.02,12.750401,0.007692,13.419018,0.02593,11.962409,0.016445,2.115225,4.23045,16.894,False,False,ClassicalCep,0.1546,0.0183,,,,,0.04,0.1,1522234538968729339
VarWISE J071239.00-123235.1,108.16251,-12.5431,cep,0.8054,10.771,0.115,0.126,263,9.374,9.372,9.51,8.98,9.55,9.54,9.48,0.02,0.02,0.04,,0.03,0.03,0.02,9.973809,0.003427,10.072127,0.006686,9.758248,0.007287,5.09655,10.19325,29.832,False,False,EclBin,0.317,0.0173,,,,,0.04,0.2,1522516295685219735
VarWISE J070427.53-122050.6,106.11472,-12.3474,cep,0.9997,10.01,0.134,0.131,295,9.68,9.588,9.2,7.26,10.99,10.18,9.84,0.02,0.02,0.05,0.12,0.02,0.02,0.02,14.227549,0.008447,15.600211,0.039748,13.07269,0.025466,4.5074,9.01485,21.339,False,False,ClassicalCep,0.1412,0.0225,,,,,0.04,0.1,1522797427098099185
